Oklahoma Native Plant Record	2379-4011
Jurnal Kesehatan Reproduksi	2087-703X
Iberoamericana: Nordic Journal of Latin American and Caribbean Studies	2002-4509
Environmental Stresses in Crop Sciences	2383-3084
Scientia Magna	1556-6706
Makara Journal of Health Research	2356-3664
Revista Cubana de Cirugía	1561-2945
Naveg@mérica	1989-211X
Annales UMCS Physica	2300-7559
Acta Scientiarum Polonorum. Formatio Circumiectus	1644-0765
Environmental and Earth Sciences Research Journal	2369-5676
Mathematical Modelling of Engineering Problems	2369-0747
Yuridika	0215-840X
Journal of the Scientific Society	2278-7127
Brain Circulation	2455-4626
Journal of Clinical and Preventive Cardiology	2250-3528
Journal of Biological Researches	0852-6834
International Journal of Engineering and Applied Sciences	1309-0267
Journal of Foreign Language Education and Technology	2536-4731
Ekonomik ve Sosyal Ara?t?rmalar Dergisi	1306-2174
Quantitative Economics Journal	2089-7874
Disertaciones	1856-9536
Problemi Teorìï ta Metodologìï Buhgalters?kogo Oblìku, Kontrolû ì Analìzu	1994-1749
Piel?gniarstwo XXI Wieku	2450-646X
British Art Studies	2058-5462
Swiss Archives of Neurology, Psychiatry and Psychotherapy	2297-7007
Journal of Functional Morphology and Kinesiology	2411-5142
Primary and Hospital Care	2297-7163
Primary and Hospital Care	2297-721X
Italian Journal of Sociology of Education	2035-4983
Applied Computer Science	2353-6977
Annals of Computer Science and Information Systems	2300-5963
Ruch Biblijny i Liturgiczny	2391-8497
The European Journal of Humour Research	2307-700X
Kwartalnik Nauk o Mediach	2392-103X
Journal of Civil Engineering, Environment and Architecture	2300-8903
Indian Journal of Urology	1998-3824
Analiz Riska Zdorov?û	2308-1155
Journal of Indian Academy of Oral Medicine and Radiology	0975-1572
Academic Pathology	2374-2895
Mazahib	1829-9067
Botan?ical Sciences	2007-4298
Eventos Pedagógicos	2236-3165
Medical Journal of Dr. D.Y. Patil University	2278-7119
Iranian Journal of Applied Ecology	2476-3128
Journal of Oral Research and Review	2394-2541
Historia y Memoria de la Educación	2444-0043
Dimensión Empresarial	1692-8563
Investigación en Enfermería: Imagen y Desarrollo	2027-128X
Journal of Dental and Allied Sciences	2277-6672
Zapiski Historyczne	2449-8637
Biology of Sport	2083-1862
HIV & AIDS Review. International Journal of HIV-Related Problems	1732-2707
Health Problems of Civilization	2354-0265
BioTechnologia. Journal of Biotechnology, Computational Biology and Bionanotechnology	2353-9461
Przegl?d Dermatologiczny	2084-9893
Przestrzenie Teorii	2450-5765
Journal of Education, Health and Sport	2391-8306
Central European Journal of Immunology	1644-4124
ILIRIA International Review	2365-8592
GW-Unterricht	2414-4169
Revista de Odontopediatria Latinoamericana	2174-0798
English Australia Journal: the Australian Journal of English Language Teaching	2202-6169
Asian Journal of Oncology	2455-4618
Kalamatika	2527-5615
Jurnal Riset Teknologi Pencegahan Pencemaran Industri	2087-0965
U?ënye Zapiski Kazanskogo Universiteta. Seriâ Estestvennye Nauki	2542-064X
Estudos de Religião	0103-801X
Revista de Italianística	1413-2079
Keria: Studia Latina et Graeca	1580-0261
Teknologi dan Kejuruan	0852-0062
Information for Social Change	1756-901X
Journal of Agribusiness and Rural Development Research	2407-814X
Suan Sunandha Rajabhat University Journal of Science and Technology	2351-0889
Bilimname: Dü?ünce Platformu	1304-1878
Journal of Smart Economic Growth	2537-141X
Discobolul: Physical Education, Sports and Kinetotherapy Journal	1454-3907
Journal of Nepal Agricultural Research Council	2392-4543
Asian Pacific Journal of Reproduction	2305-0519
Strategic Trade Review	2406-5269
Electronic Journal of Combinatorics	1077-8926
Cosmos and History : the Journal of Natural and Social Philosophy	1832-9101
Journal of European Periodical Studies	2506-6587
Scipost Physics	2542-4653
Guoji Yanke Zazhi	1672-5123
Sanat E?itimi Dergisi	2147-8007
Litera	1412-2596
Jurnal Ilmiah Pendidikan Pancasila dan Kewarganegaraan	2528-0767
Informal: Informatics Journal	2503-250X
Network Pharmacology	2415-1084
Mechanical	2087-1880
Cadernos CIMEAC	2178-9770
Bibliothecae.it	2283-9364
Revista Ingeniería, Matemáticas y Ciencias de la Información	2357-3716
International Journal of Business and Economic Sciences Applied Research	2408-0098
Cakrawala Pendidikan: Jurnal Ilmiah Pendidikan	0216-1370
Boletim do Observatório Ambiental Alberto Ribeiro Lamego	1981-6197
Vértices	1415-2843
International Journal of Contents	1738-6764
Environment and Natural Resources Journal	1686-5456
Fujita Medical Journal	2189-7247
Analele Universit??ii din Oradea: Fascicula Educa?ie Fizic? ?i Sport	1224-5100
Colindancias: Revista de la Red de Hispanistas de Europa Central	2067-9092
Indonesian Aquaculture Journal	0215-0883
Register: Jurnal Ilmiah Teknologi Sistem Informasi	2503-0477
Esensi: Jurnal Bisnis dan Manajemen	2087-2038
Religió: Jurnal Studi Agama-agama	2088-6330
Farabi	1907-0993
Informasi	0126-0650
Jurnal Penelitian Pos dan Informatika	2088-9402
Arhitektura i Urbanizam	0354-6055
Revista do Instituto de Estudos Brasileiros	0020-3874
Revista Brasileira de Geriatria e Gerontologia	1809-9823
Revista Brasileira de Ciência Política	0103-3352
Research on Biomedical Engineering	2446-4732
Brazilian Journal of Geology	2317-4889
Journal of Sustainable Development Law and Policy	2467-8392
Mongolian Journal of Biological Sciences	1684-3908
Journal of Dental Research, Dental Clinics, Dental Prospects	2008-2118
Journal of Dental Research and Review	2348-3172
South Asian Journal of Management Sciences	2410-8537
Indian Journal of Research in Homoeopathy	2320-7094
Journal of International Clinical Dental Research Organization	2231-5357
Patologiâ Krovoobrašeniâ i Kardiohirurgiâ	1681-3472
Revista de la Asociación Argentina de Ortopedia y Traumatologia	1515-1786
Jurnal Teknologi dan Industri Pertanian Indonesia	2085-4927
Saudi Endodontic Journal	2320-1495
Sovremennye Issledovaniâ Social?nyh Problem	2077-1770
South African Crime Quarterly	2413-3108
Statistika i Èkonomika	2500-3925
Tobacco Prevention and Cessation	2459-3087
AKCE International Journal of Graphs and Combinatorics	0972-8600
J@ti Undip: Jurnal Teknik Industri	1907-1434
Jurnal Ilmiah Ibnu Sina	2502-647X
Realitas. Revista de Ciencias Sociales, Artes y Humanidades	2346-0601
Pastos y Forrajes	2078-8452
Arti Musices	0587-5455
European Physical Journal C: Particles and Fields	1434-6052
Jurnal Konseling Gusjigang	2460-1187
Revista da Sociedade Brasileira de Arborização Urbana	1980-7694
Irish Journal of Paramedicine	2009-938X
JSP: Jurnal Ilmu Sosial dan Ilmu Politik	1410-4946
Bulletin of Faculty of Pharmacy, Cairo University	1110-0931
IATSS Research	0386-1112
Jurnal Sosiologi Reflektif	1978-0362
Alternate routes: a journal of Critical Social Research	1923-7081
Dialogue and Discourse	2152-9620
Token: A Journal of English Linguistics	2392-2087
Issues in Social and Environmental Accounting	1978-0591
International Journal of Spray and Combustion Dynamics	1756-8285
The Journal of Computational Multiphase Flows	1757-4838
International Journal of Ocean and Climate Systems	1759-314X
Social Affairs	2478-107X
Age of Human Rights Journal	2340-9592
Jurnal Presipitasi	1907-817X
Biota Neotropica	1676-0611
npj Science of Learning	2056-7936
Nutrire	2316-7874
Entertainment and Sports Law Journal	1748-944X
Open Library of Humanities	2056-6700
Tijdschrift voor Mediageschiedenis	2213-7653
Journal of the European Association for Health Information and Libraries	1841-0715
Arabian Epigraphic Notes	2451-8875
VIEW Journal of European Television History and Culture	2213-0969
Digital Health	2055-2076
Buletinul ?tiin?ific al Academiei Trupelor de Uscat	1224-5178
Journal of Algorithms & Computational Technology	1748-3026
npj Vaccines	2059-0105
Caspian Journal of Neurological Sciences	2423-4818
Estudis de Literatura Oral Popular	2014-7996
Cadernos do Programa de Pós-Graduação em Direito – PPGDir./UFRGS	2317-8558
Op. Cit.: Revista de Estudos Anglo-Americanos / A Journal of Anglo-American Studies	2182-9446
Jurnal Ilmu Kehutanan	0126-4451
International Journal of Islamic Economics and Finance Studies	2149-8393
Chinese Journal of Magnetic Resonance	1000-4556
Justicia Islamica	1693-5926
Lietuvi? Kalba	1822-525X
Muslim Heritage: Jurnal Dialog Islam dengan Realitas	2502-535X
Jurnal Hutan Tropis	2337-7771
Indonesian Fisheries Research Journal	0853-8980
Daath Voyage: An International Journal of Interdisciplinary Studies in English	2455-7544
Journal of Naval Architecture and Marine Engineering	2070-8998
Emitter: International Journal of Engineering Technology	2355-391X
Dialektika: Jurnal Bahasa, Sastra, dan Pendidikan Bahasa dan Sastra Indonesia	2407-506X
Convergencia	1405-1435
CoDAS	2317-1782
International Journal of Veterinary Science and Medicine	2314-4599
Journal of Basic and Applied Zoology	2090-9896
Jurnal Lentera	1693-6922
NRIAG Journal of Astronomy and Geophysics	2090-9977
Alexandria Engineering Journal	1110-0168
Tarjih: Jurnal Tarjih dan Pengembangan Pemikiran Islam	1410-332X
Jurnal Media Hukum	0854-8919
Jurnal Ilmu Lingkungan	1829-8907
Al-Albab	0216-6143
Journal of International Council on Electrical Engineering	2234-8972
International Journal of Indonesian Studies	2203-4692
Psikopedagogia: Jurnal Bimbingan dan Konseling	2301-6167
Integrative Medicine Research	2213-4220
ICT Express	2405-9595
Revista de Estudios Andaluces	2340-2776
Journal of Applied Mechanics	2423-6713
Enviroscienteae	1978-8096
Agritech	0216-0455
Vlast? (Moskva)	2071-5358
Jurnal Penelitian Kesehatan Suara Forikes	2502-7778
Revista Brasileira de Ciência Política	2178-4884
RSF: The Russell Sage Foundation Journal of the Social Sciences	2377-8253
Jurnal Edukasi	2460-4917
JEELS: Journal of English Education and Linguistics Studies	2407-2575
Sriwijaya Journal of Environment	2527-4961
Kinerja: Journal of Business and Economics	0853-6627
Journal of the Egyptian Society of Cardio-Thoracic Surgery	1110-578X
Intizar	1412-1697
CommIT Journal	1979-2484
Rocky Mountain Law Journal	2332-5003
Journal of Islamic Banking and Finance	1814-8042
Emerging Contaminants	2405-6650
Revista de Ciências Humanas	2178-4582
Pedagogiko-psihologi?eskie i Mediko-biologi?eskie Problemy Fizi?eskoj Kul?tury i Sporta	2070-4798
Inferensi Jurnal Penelitian Sosial Keagamaan	1978-7332
Musikterapi i psykiatrien online	2245-3342
Fokus Konseling	2356-2102
Jurnal Riset Pendidikan Matematika	2356-2684
Educational Management	2252-7001
Tri Dasa Mega	1411-240X
Nigerian Journal of Technological Development	2437-2110
Journal of Neurology and Experimental Neuroscience	2469-407X
Taiwan Journal of Sociology of Education	1680-2004
Oculus Ensaios	2318-0919
Nouvelle Revue Synergies Canada	2292-2261
Hoehnea	2236-8906
Revista Triangulo	2175-1609
Jurnal Pendidikan Bahasa dan Sastra	1412-0712
Studii de Preistorie	2065-2526
Grenze International Journal of Engineering and Technology	2502-7131
Teoriâ i Praktika Pererabotki Mâsa	2414-438X
Otkrytoe Obrazovanie (Moskva)	1818-4243
Detskie Infekcii (Moskva)	2072-8107
International Journal of Agricultural and Biological Engineering	1934-6344
Buletin Psikologi	0854-7106
Travmatologiâ i Ortopediâ Rossii	2311-2905
U?enye Zapiski Sankt-Peterburgskogo Gosudarstvennogo Medicinskogo Universiteta im. Akad. I.P. Pavlova	1607-4181
Journal of Community Health Research	2345-2609
Chinese Journal of Engineering Design	1006-754X
British and American Studies	1224-3086
Creativity and Innovation Journal	2067-3086
Studium	2248-2164
Majalah Kedokteran Gigi Indonesia	2460-0164
Qudus International Journal of Islamic Studies	2355-1895
Drug Development and Therapeutics	2394-2002
Journal of Aeronautical Materials	1005-5053
IETI Transactions on Business and Management Sciences	2517-9993
Journal of Urban Management	2226-5856
Jurnal Aplikasi Bisnis dan Manajemen	2528-5149
Nordic Journal of Vocational Education and Training	2242-458X
Jurnal Ekonomi dan Bisnis	1979-6471
Interfaces da Educação	2177-7691
Journal of Fitness Research	2201-5655
Advances in Interventional Cardiology	1897-4295
Journal of Innovations and Sustainability	2367-8151
Investigacion Cualitativa	2473-4985
At-Turats	1978-418X
Arena Hukum	0126-0235
Makara Journal of Science	2339-1995
Jurnal Wilayah dan Lingkungan	2338-1604
Jurnal Sains Dasar	2085-9872
Bangladesh Journal of Pharmacology	1991-0088
Nirma University Journal of Engineering and Technology	2231-2870
Catalogue and Index	0008-7629
Journal of English Language Teaching and Linguistics	2503-1848
Ensaio Pesquisa em Educação em Ciências	1415-2150
Historical Life Course Studies	2352-6343
Journal of Tolkien Research	2471-934X
Journal of Prison Education and Reentry	2387-2306
Journal of Proteins and Proteomics	0975-8151
Journal of High Energy Physics	1029-8479
Nauka v Olimpijskom Sporte	1992-788
Malaysian Journal of Nursing	2231-7007
Register Journal	1979-8903
Religi: Jurnal Studi Islam	1978-306X
Ecodemica	2355-0295
Historia: Jurnal Pendidikan Sejarah FKIP UM Metro	2337-4713
Episteme: Jurnal Pengembangan Ilmu Keislaman	1907-7491
Jurnal Ketahanan Nasional	0853-9340
Journal of Interactive Media in Education	1365-893X
International Journal of Micro Air Vehicles	1756-8307
APL Photonics	2378-0967
Integrative Cancer Therapies	1552-695X
Multiple Sclerosis Journal - Experimental, Translational and Clinical	2055-2173
International Journal of Physiotherapy	2348-8336
Journal of Global Oncology	2378-9506
Jurnal Teknologi dan Sistem Komputer	2338-0403
Dinika: Academic Journal of Islamic Studies	2503-4219
Al-A'raf: Jurnal Pemikiran Islam dan Filsafat	1693-9867
Jurnal Manajemen Teknologi	1412-1700
Journal of Human, Environment, and Health Promotion	2476-5481
?ibb-i jun?b	1735-4374
Research in Plant Disease	1598-2262
International Journal of One Health	2455-5673
Trakya University Journal of Natural Sciences	2147-0294
Acta Medica Anatolia	2148-2357
Journal of Psychology & Clinical Psychiatry	2373-6445
Zernovì Produkti ì Kombìkorma	2313-478X
The Depositional Record	2055-4877
Ta?q?q?t-i sal?mat dar j?mi?ah	2423-6764
Ta?v?r-i sal?mat	2008-9058
Forum Geografi	0852-0682
Jurnal Kependudukan Indonesia	1907-2902
Chiang Mai Sattawa Phatthayasan	1685-9502
Chitrolekha International Magazine on Art and Design	2231-4822
Lambung Mangkurat Law Journal	2502-3136
International Journal of Software Engineering and Computer Systems	2289-8522
Journal on English as a Foreign Language	2088-1657
PALASTReN: Jurnal Studi Gender	1979-6056
Geoscience Frontiers	1674-9871
Journal of the Saudi Society of Agricultural Sciences	1658-077X
Jurnal Dinamika Akuntansi dan Bisnis	2355-9462
Current Directions in Biomedical Engineering	2364-5504
Valenciana	2007-2538
Tataloka	0852-7458
Jurnal Penelitian Perikanan Indonesia	0853-5884
Digital Communications and Networks	2352-8648
Chinese Nursing Research	2095-7718
Egyptian Journal of Basic and Applied Sciences	2314-808X
Journal of Materiomics	2352-8478
Journal of Otology	1672-2930
Journal of Taibah University for Science	1658-3655
Osteoporosis and Sarcopenia	2405-5255
Zaštita Materijala	0351-9465
The Teaching of Mathematics	1451-4966
Journal of Biomedicine and Translational Research	2503-2178
Biochemistry and Biophysics Reports	2405-5808
Egyptian Journal of Critical Care Medicine	2090-7303
Contemporary Oncology	1897-4309
História e Culturas	2318-8294
Signal Transduction and Targeted Therapy	2059-3635
Molecular Therapy - Oncolytics	2372-7705
JNKI: Jurnal Ners dan Kebidanan Indonesia	2354-7642
International Journal of Basic Science in Medicine	2476-664X
Journal of Applied and Computational Mechanics	2383-4536
Jurnal Pendidikan Ilmu Sosial	1412-3835
Tajdid	1693-3389
Jurnal Cita Hukum	2356-1440
Jurnal Ilmu Pertanian Indonesia	0853-4217
Kaji Tindak: Jurnal Pemberdayaan Masyarakat	2407-1773
Spiritual Psychology and Counseling	2458-9675
Ethics & Bioethics (in Central Europe)	2453-7829
Revista Cimexus	2007-9206
Revista Argentina de Investigación en Negocios	2422-5282
Geriatrics	2308-3417
Rheumatology	2084-9834
Folia Neuropathologica	1509-572X
Videosurgery and Other Miniinvasive Techniques	2299-0054
Journal of Contemporary Brachytherapy	2081-2841
Matemati?ki Vesnik	0025-5165
Jurnal Penelitian	1693-6019
Jurnal Gizi dan Dietetik Indonesia	2303-3045
Educação: Teoria e Prática	1981-8106
Research in Arabic Language	2322-4649
Fiat Justisia	1978-5186
Indonesian Journal of Science and Technology	2527-8045
U?enye Zapiski Kazanskogo Gosudarstvennogo Universiteta: Seriâ Estestvennye Nauki	1815-6169
Türkiye Biyoetik Dergisi	2148-5917
Korean Journal of Critical Care Medicine	2383-4870
Journal of Cancer Research and Practice	2311-3006
SoftwareX	2352-7110
Gontor Agrotech Science Journal	2460-495X
Badebec	1853-9580
Anthropology & Aging	2374-2267
Ecosphere	2150-8925
Ecosystem Health and Sustainability	2332-8878
Engineering	2095-8099
Bawal: Widya Riset Perikanan Tangkap	1907-8226
KLIK: Kumpulan jurnaL Ilmu Komputer	2406-7857
Jurnal Elkomika	2338-8323
Korean Journal of Medical Education	2005-727X
Jurnal Bina Praja	2085-4323
International Journal of Behavioral Sciences	2322-1194
Sinapsis	2215-7794
Revista Conjuntura Austral	2178-8839
Ação Midiática - Estudos em Comunicação, Sociedade e Cultura	2238-0701
Veterinary News	1983-0777
Translatio	2236-4013
Trendy Ekonomiky a Managementu	1802-8527
Pensamiento Psicológico	1657-8961
Saúde em Debate	0103-1104
Kidney International Reports	2468-0249
Revista Cubana de Pediatría	0034-7531
REMHU: Revista Interdisciplinar da Mobilidade Humana	1980-8585
Biyumik?n?k-i varzish?	2476-4906
Archives of Breast Cancer	2383-0433
Research in Cardiovascular Medicine	2251-9572
História, Ciências, Saúde: Manguinhos	0104-5970
RT. A Journal on Research Policy and Evaluation	2282-5398
Ethiopian Journal of Health Sciences	2413-7170
Sleep Science	1984-0063
Formação@Docente	2237-0587
Cuadernos de Administración	2256-5078
Retos: Nuevas Tendencias en Educación Física, Deportes y Recreación	1988-2041
EtnoAntropologia	2284-0176
Majallah-i ?if??at-i giy?h?n	2008-4749
Revista Cubana de Estomatología	0034-7507
Regenerative Therapy	2352-3204
Translational Research in Anatomy	2214-854X
Innovative Surgical Science	2364-7485
Scandinavian Journal of Primary Health Care	1502-7724
Anuarul Institutului de Cercet?ri Socio-Umane „C.S. Nicol?escu-Plop?or”	1841-0898
Pharmaciana	2088-4559
Advances in Radiation Oncology	2452-1094
Journal of Applied Intelligent System	2503-0493
Acta Bioethica	0717-5906
Agricultural Economics & Development	2008-4722
Egyptian Heart Journal	1110-2608
Intersections	2068-3472
Üniversitepark Bülten	2147-351X
Journal of Mediterranean Knowledge	2499-930X
Academia Anatomica International	2455-5274
Elderly Health Journal	2423-6179
Revista Brasileira de Educação Médica	1981-5271
Shirkah Journal of Economics and Business	2503-4235
Orbit: A Journal of American Literature	2398-6786
Laryngoscope Investigative Otolaryngology	2378-8038
Clean Air Journal	2410-972X
South African Journal of Education	2076-3433
Christian Journal for Global Health	2167-2415
Cultural Anthropology	1548-1360
Plant Biotechnology Journal	1467-7652
Tydskrif vir Letterkunde	2309-9070
South African Medical Journal	2078-5135
South Afican Journal of Child Health	1999-7671
South African Journal of Obstetrics and Gynaecology	2305-8862
Southern African Journal of Critical Care	2078-676X
European Medical Journal Hepatology	2053-4221
Voprosy Onomastiki	1994-2400
International Journal of Ophthalmology	2222-3959
Emitor	1411-8890
Annals of Research in Antioxidants	2476-5511
African Journal of Urology	1110-5704
Nuclear Engineering and Technology	1738-5733
European Research on Management and Business Economics	2444-8834
Neurobiology of Stress	2352-2895
Anuario de Investigaciones	1851-1686
Anales de Filología Francesa	1989-4678
Biomédica: revista del Instituto Nacional de Salud	0120-4157
Revista de Biología Tropical	0034-7744
GOT - Revista de Geografia e Ordenamento do Território	2182-1267
"Revista CIFE ""Lecturas de Economía Social"""	2248-4914
Fronteiras: Journal of Social, Technological and Environmental Science	2238-8869
African Invertebrates	2305-2562
Journal of Clinical Sciences	2408-7408
Prostate International	2287-8882
Journal of Acupuncture & Meridian Studies	2005-2901
Nordic Journal of Literacy Research	2464-1596
B?m/shin?s?-i kish?varz?	2008-7713
Pizh?hishh?-yi zir???-i ?r?n	2008-1472
Human Falah: Jurnal Ekonomi dan Bisnis Islam	2407-7119
Pizh?hishh?-yi ?ulum-i d?m?-i ?r?n	2008-3106
South African Journal of Economic and Management Sciences	2222-3436
International Journal of Corporate Social Responsibility	2366-0074
Life Sciences, Society and Policy	2195-7819
International Journal for Educational Integrity	1833-2595
Protection and Control of Modern Power Systems	2367-0983
Smart Learning Environments	2196-7091
Triple Helix	2197-1927
JMIR Public Health and Surveillance	2369-2960
JMIR Human Factors	2292-9495
Journal of Copyright in Education and Librarianship	2473-8336
International Research Journal of Business Studies	2089-6271
International Journal of Mycobacteriology	2212-5531
Clinical Trials and Regulatory Science in Cardiology	2405-5875
Heliyon	2405-8440
International Journal of Pediatrics and Adolescent Medicine	2352-6467
Arab Journal of Urology	2090-598X
Journal of Taibah University Medical Sciences	1658-3612
Saudi Journal for Dental Research	2352-0035
Revista Hydra	2447-942X
Acta Reumatológica Portuguesa	0303-464X
Har?ova Nauka ì Tehnologìâ	2073-8684
Dokuz Eylül Üniversitesi Denizcilik Fakültesi Dergisi	1309-4246
Vìsnik Dnìpropetrovs?kogo Unìversitetu: Serìâ Hìmìâ	2306-871X
Povolžskaâ Arheologiâ	2306-4099
Agronomía Colombiana	2357-3732
adComunica. Revista Científica de Estrategias, Tendencias e innovación en Comunicación	2254-2728
Anàlisi: Quaderns de Comunicació i Cultura	2340-5236
Letras	2215-4094
Bioengineering & Translational Medicine	2380-6761
Civil Engineering Infrastructures Journal	2322-2093
Studies in Mycology	0166-0616
Journal of Information Systems Engineering and Business Intelligence	2443-2555
Mutawatir	2088-7523
Espiral	1665-0565
Journal of Hyperspectral Remote Sensing	2237-2202
América Latina en la Historia Económica	1405-2253
Revista Eureka sobre Enseñanza y Divulgación de las Ciencias	1697-011X
Historia y Sociedad	2357-4720
Caldasia	2357-3759
Revista Mosaico	2178-7719
Issues in Informing Science and Information Technology	1547-5867
Journal of Information Technology Education : Research	1539-3585
Journal of Information Technology Education : Innovations in Practice	2165-316X
Informing Science The International Journal of an Emerging Transdiscipline	1521-4672
International Journal of Doctoral Studies	1556-8873
Interdisciplinary Journal of Information, Knowledge, and Management	1555-1237
Interdisciplinary Journal of e-Learning and Learning Objects	1552-2237
Mediterranean Journal of Modeling and Simulation	2335-1357
History of Science in South Asia	2369-775X
Mémoires du livre / Studies in Book Culture	1920-602X
Revue d'ethnoécologie	2267-2419
Zahedan Journal of Researches in Medical Sciences	2383-2894
Acta Universitatis Carolinae: Kinanthropologica	1212-1428
Aktual?nì Pitannâ Farmacevti?noï ì Medi?noï Nauki ta Praktiki	2306-8094
Tourism & Management Studies	2182-8466
Kimün. Revista Interdisciplinaria de Formación Docente	2469-066X
Revista Colombiana de Investigaciones Agroindustriales	2422-4456
Jurnal Organisasi dan Manajemen	2085-9686
Journal of Research and Technology	2460-5972
Cancers of the Head & Neck	2059-7347
mUX: The Journal of Mobile User Experience	2196-873X
IUCrData	2414-3146
The Covenant Quarterly	2380-8829
Computer Engineering and Applications Journal	2252-4274
Infinity	2089-6867
Egyptian Journal of Chest Disease and Tuberculosis	0422-7638
Egyptian Rheumatologist	1110-1164
Genes and Diseases	2352-3042
Journal of Ginseng Research	1226-8453
Communications in Science and Technology	2502-9258
Mimesis Journal	2279-7203
Issues and Trends in Educational Technology	2168-1325
Revista de Estudos Institucionais	2447-5467
RIASE	2183-6663
Jornal Interdisciplinar de Biociências	2448-0002
Etnográfica: Revista do Centro em Rede de Investigação em Antropologia	2182-2891
At-Tahdzib	2089-7723
E-Jurnal Akuntansi	2302-8556
JWM: Jurnal Wawasan Manajemen	2337-5191
Journal of Rehabilitation	1607-2960
Journal of Microwaves, Optoelectronics and Electromagnetic Applications	2179-1074
Journal of Political Ecology	1073-0451
Energy and Policy Research	2381-5639
Open Review of Educational Research	2326-5507
Acta Biomaterialia Odontologica Scandinavica	2333-7931
Chemical Speciation & Bioavailability	2047-6523
RT. A Journal on Research Policy and Evaluation	2282-5398
Pizh?hish va barn?mah/r?z?-i r?st?y?	2322-2514
InFestasi: Jurnal Bisnis dan Akuntansi	0216-9517
Transinformação	0103-3786
Journal of British and Irish Innovative Poetry	1758-972X
Mycology	2150-1211
International Journal of Adolescence and Youth	2164-4527
Ánfora	0121-6538
Letters in Biomathematics	2373-7867
Geomatics, Natural Hazards & Risk	1947-5713
Journal of Biological Dynamics	1751-3766
RevIISE	2250-5555
Humanitas	2183-1718
EFORT Open Reviews	2058-5241
Scandinavian Journal of Work and Organizational Psychology	2002-2867
Revista de Saúde	2179-2739
People Living with And Inspired by Diabetes	2374-4669
Waikato Journal of Education	2382-0373
Jurnal Penelitian dan Pembelajaran IPA	2477-1422
Vestnik KRAUNC: Fiziko-Matemati?eskie Nauki	2079-6641
Film Criticism	0163-5069
Revista de Governança Corporativa	2359-313X
Revista Internacional de Investigación y Docencia	2445-1711
Arctic Yearbook	2298-2418
Anales en Gerontología	2215-4647
Corpoica Ciencia y Tecnología Agropecuaria	0122-8706
FIDES - Revista de Filosofia do Direito, do Estado e da Sociedade	2177-1383
Insights: The UKSG Journal	2048-7754
Open Quaternary	2055-298X
Designs for Learning	2001-7480
European Journal of Bioethics	1847-6376
Journal of Pediatric Emergency and Intensive Care Medicine	2146-2399
International Journal of Educational Technology in Higher Education	2365-9440
Revista de Universidad y Sociedad del Conocimiento	1698-580X
C21 Literature: Journal of 21st-century Writings	2045-5224
Studies in the Maternal	1759-0434
Dentino Jurnal Kedokteran Gigi	2337-5310
Aquacultura Indonesiana	0216-0749
Journal of Research and Advances in Mathematics Education	2503-3697
Andean Geology	0718-7106
Dígitos	2444-0132
Revista Brasileira de Estudos Organizacionais	2447-4851
Indigenous	0854-2880
Profetika	1411-0881
Media Mesin	1411-4348
Imagonautas	0719-0166
Revista Brasileira de História da Educação	2238-0094
Revista de la Universidad Industrial de Santander. Salud	2145-8464
Lontar Komputer	2088-1541
Caderno CRH	0103-4979
Medicina	1010-660X
Journal of Maize Research and Development	2467-9305
Health in Emergencies & Disasters Quarterly	2345-4210
Orthodontic Journal of Nepal	2091-1335
Harmonia: Journal of Arts Research and Education	2541-1683
Journal of Data and Information Science	2096-157X
Journal of Agricultural Resources and Environment	2095-6819
International Journal of Public and Private Management	2392-5809
El Harakah	1858-4357
International Journal of Nusantara Islam	2252-5904
Nuevo Pensamiento. Revista de Filosofía	1853-7596
Análise Europeia - Revista da Associação Portuguesa de Estudos Europeus	2183-802X
Revista Adm.Made	1518-9929
Acta Veterinaria Brasilica	1981-5484
Revista Internacional de Estudios Migratorios	2173-1950
Signótica	2316-3690
UNILUS Ensino e Pesquisa	2318-2083
Neizvestnyj Dostoevskij	2409-5788
Mashriq & Mahjar	2169-4435
Desert	2345-475X
Beiträge zur Tabakforschung International	1612-9237
Saúde e Meio Ambiente: Revista Interdisciplinar	2316-347X
Zeitschrift für Weiterbildungsforschung - Report	2364-0022
International Journal of Heat and Technology	0392-8764
Acta Universitatis Sapientiae: Alimentaria	2066-7744
Sportske Nauke i Zdravlje	2232-8211
International Journal of Medicine and Medical Research	2413-6077
Trudy Instituta Russkogo Âzyka im. V.V. Vinogradova	2311-150X
Vestnik Voronežskogo Gosudarstvennogo Universiteta Inženernyh Tehnologij	2226-910X
Russkij Âzyk v Nau?nom Osve?enii	1681-1062
BRICS Law Journal	2409-9058
Administration	2449-9471
Proceedings on Privacy Enhancing Technologies	2299-0984
Optofluidics, Microfluidics and Nanofluidics	2300-7435
Warta	1410-9344
Population Horizons	2451-3121
Dementia & Neuropsychologia	1980-5764
Omni-Aktuatika	1858-3873
Ler História	0870-6182
Journal of Materials Engineering	1001-4381
Boletim de Pesquisa NELIC	1984-784X
Boston Hospitality Review	2326-0351
Jurnal Matematika, Sains dan Teknologi	1411-1934
Jurnal Pendidikan Fisika	2337-5973
Iheringia: Série Botânica	0073-4705
International Journal of Research and Education	2398-3760
Journal of Perspectives in Applied Academic Practice	2051-9788
Bioeksperimen: Jurnal Penelitian Biologi	2460-1365
Buletin Studi Ekonomi	1410-4628
Jurnal el-Hayah	2086-0064
