Title20;ISO_ABBREV;TITLE;ISSN
PATHOG DIS;Pathog. Dis.;Pathogens and Disease;2049-632X
PATHOL BIOL;Pathol. Biol.;PATHOLOGIE BIOLOGIE;0369-8114
PEDIATR DEVEL PATHOL;Pediatr. Dev. Pathol.;PEDIATRIC AND DEVELOPMENTAL PATHOLOGY;1093-5266
PEDIATR DIABETES;Pediatr. Diabetes;PEDIATRIC DIABETES;1399-543X
PEDIATR EXERC SCI;Pediatr. Exerc. Sci.;PEDIATRIC EXERCISE SCIENCE;0899-8493
PEDIATR NEONATOL;Pediatr. Neonatol.;Pediatrics and Neonatology;1875-9572
PEDIATR NEUROL;Pediatr. Neurol.;PEDIATRIC NEUROLOGY;0887-8994
PEDIATR PULM;Pediatr. Pulmonol.;PEDIATRIC PULMONOLOGY;8755-6863
PEDIATRICS;Pediatrics;PEDIATRICS;0031-4005
PEDOSPHERE;Pedosphere;PEDOSPHERE;1002-0160
TURK ENTOMOL DERG-TU;Turk. Entomol. Derg.-Turk. J. Entomol.;TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY;1010-6960
TURK J BIOL;Turk. J. Biol.;TURKISH JOURNAL OF BIOLOGY;1300-0152
TURK J BOT;Turk. J. Bot.;TURKISH JOURNAL OF BOTANY;1300-008X
TURK J CHEM;Turk. J. Chem.;TURKISH JOURNAL OF CHEMISTRY;1300-0527
TURK J ZOOL;Turk. J. Zool.;TURKISH JOURNAL OF ZOOLOGY;1300-0179
TURK NEUROSURG;Turk. Neurosurg.;Turkish Neurosurgery;1019-5149
TWIN RES HUM GENET;Twin Res. Hum. Genet.;Twin Research and Human Genetics;1832-4274
U POLITEH BUCH SER A;Univ. Politeh. Buchar. Sci. Bull.-Ser. A-Appl. Math. Phys.;University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics;1223-7027
UKR MATH J+;Ukr. Math. J.;Ukrainian Mathematical Journal;0041-5995
ULTRASON SONOCHEM;Ultrason. Sonochem.;ULTRASONICS SONOCHEMISTRY;1350-4177
UROL ONCOL-SEMIN ORI;Urol. Oncol.-Semin. Orig. Investig.;UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS;1078-1439
UTIL POLICY;Util. Policy;Utilities Policy;0957-1787
MOL PHYLOGENET EVOL;Mol. Phylogenet. Evol.;MOLECULAR PHYLOGENETICS AND EVOLUTION;1055-7903
MOL PLANT MICROBE IN;Mol. Plant-Microbe Interact.;MOLECULAR PLANT-MICROBE INTERACTIONS;0894-0282
MON NOT R ASTRON SOC;Mon. Not. Roy. Astron. Soc.;MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY;0035-8711
MT RES DEV;Mt. Res. Dev.;MOUNTAIN RESEARCH AND DEVELOPMENT;0276-4741
MULTIMED TOOLS APPL;Multimed. Tools Appl.;MULTIMEDIA TOOLS AND APPLICATIONS;1380-7501
MULTIMEDIA SYST;Multimedia Syst.;MULTIMEDIA SYSTEMS;0942-4962
MULTIVAR BEHAV RES;Multivariate Behav. Res.;MULTIVARIATE BEHAVIORAL RESEARCH;0027-3171
MUTAT RES-REV MUTAT;Mutat. Res.-Rev. Mutat. Res.;MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH;1383-5742
MYCOPATHOLOGIA;Mycopathologia;MYCOPATHOLOGIA;0301-486X
MYCOSES;Mycoses;MYCOSES;0933-7407
N AM J FISH MANAGE;North Am. J. Fish Manage.;NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT;0275-5947
NANO COMMUN NETW;Nano Commun.Netw.;Nano Communication Networks;1878-7789
NANO ENERGY;Nano Energy;Nano Energy;2211-2855
NANOPHOTONICS-BERLIN;Nanophotonics;Nanophotonics;2192-8606
NANOSC MICROSC THERM;Nanoscale Microscale Thermophys. Eng.;Nanoscale and Microscale Thermophysical Engineering;1556-7265
NANOSC MICROSC THERM;Nanoscale Microscale Thermophys. Eng.;Nanoscale and Microscale Thermophysical Engineering;1556-7265
NANOSCALE;Nanoscale;Nanoscale;2040-3364
NANOSCALE RES LETT;Nanoscale Res. Lett.;Nanoscale Research Letters;1556-276X
NANOTECHNOLOGY;Nanotechnology;NANOTECHNOLOGY;0957-4484
VET CLIN N AM-FOOD A;Vet. Clin. N. Am.-Food Anim. Pract.;VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE;0749-0720
VET MEXICO;Vet. Mexico;VETERINARIA MEXICO;2448-6760
VET RES;Vet. Res.;VETERINARY RESEARCH;0928-4249
VIE MILIEU;Vie Milieu;VIE ET MILIEU-LIFE AND ENVIRONMENT;0240-8759
VIRAL IMMUNOL;Viral Immunol.;VIRAL IMMUNOLOGY;0882-8245
VIRAL IMMUNOL;Viral Immunol.;VIRAL IMMUNOLOGY;0882-8245
VIRCHOWS ARCH;Virchows Arch.;VIRCHOWS ARCHIV;0945-6317
VIRTUAL REAL-LONDON;Virtual Real.;VIRTUAL REALITY;1359-4338
VISION RES;Vision Res.;VISION RESEARCH;0042-6989
VITAM HORM;Vitam. Horm.;Vitamins and Hormones;0083-6729
PERFORM EVALUATION;Perform. Eval.;PERFORMANCE EVALUATION;0166-5316
PERIOD MATH HUNG;Period. Math. Hung.;Periodica Mathematica Hungarica;0031-5303
PERIOD MATH HUNG;Period. Math. Hung.;Periodica Mathematica Hungarica;0031-5303
PERIOD MINERAL;Period. Mineral.;Periodico di Mineralogia;0369-8963
PETROL EXPLOR DEV+;Petroleum Explor. Dev.;Petroleum Exploration and Development;1000-0747
PETROL GEOSCI;Petrol. Geosci.;PETROLEUM GEOSCIENCE;1354-0793
PETROL SCI;Pet. Sci.;Petroleum Science;1672-5107
PFLEGE;Pflege;Pflege;1012-5302
PHARM CHEM J+;Pharm. Chem. J.;PHARMACEUTICAL CHEMISTRY JOURNAL;0091-150X
SOFT MATTER;Soft Matter;Soft Matter;1744-683X
SOFTWARE PRACT EXPER;Softw.-Pract. Exp.;SOFTWARE-PRACTICE & EXPERIENCE;0038-0644
SOIL DYN EARTHQ ENG;Soil Dyn. Earthq. Eng.;SOIL DYNAMICS AND EARTHQUAKE ENGINEERING;0267-7261
SOIL SCI PLANT NUTR;Soil Sci. Plant Nutr.;SOIL SCIENCE AND PLANT NUTRITION;0038-0768
SOIL SEDIMENT CONTAM;Soil. Sediment. Contam.;SOIL & SEDIMENT CONTAMINATION;1532-0383
SOILS FOUND;Soils Found.;SOILS AND FOUNDATIONS;0038-0806
SOL ENERG MAT SOL C;Sol. Energy Mater. Sol. Cells;SOLAR ENERGY MATERIALS AND SOLAR CELLS;0927-0248
SOLDER SURF MT TECH;Solder. Surf. Mt. Technol.;SOLDERING & SURFACE MOUNT TECHNOLOGY;0954-0911
SOLID STATE ELECTRON;Solid-State Electron.;SOLID-STATE ELECTRONICS;0038-1101
SOLID STATE NUCL MAG;Solid State Nucl. Magn. Reson.;SOLID STATE NUCLEAR MAGNETIC RESONANCE;0926-2040
SOLID STATE NUCL MAG;Solid State Nucl. Magn. Reson.;SOLID STATE NUCLEAR MAGNETIC RESONANCE;0926-2040
SOLID STATE SCI;Solid State Sci.;SOLID STATE SCIENCES;1293-2558
SOUND VIB;Sound Vib.;SOUND AND VIBRATION;1541-0161
SOUTH FORESTS;South. Forests;Southern Forests;2070-2620
SOUTH MED J;South.Med.J.;SOUTHERN MEDICAL JOURNAL;0038-4348
NAT AREA J;Nat. Areas J.;NATURAL AREAS JOURNAL;0885-8608
NAT CELL BIOL;Nat. Cell Biol.;NATURE CELL BIOLOGY;1465-7392
NAT CLIM CHANGE;Nat. Clim. Chang.;Nature Climate Change;1758-678X
NAT CLIM CHANGE;Nat. Clim. Chang.;Nature Climate Change;1758-678X
NAT ECOL EVOL;Nat. Ecol. Evol.;Nature Ecology & Evolution;2397-334X
NAT ECOL EVOL;Nat. Ecol. Evol.;Nature Ecology & Evolution;2397-334X
PHARMACOL REV;Pharmacol. Rev.;PHARMACOLOGICAL REVIEWS;0031-6997
PHIL MAG LETT;Philos. Mag. Lett.;PHILOSOPHICAL MAGAZINE LETTERS;0950-0839
PHIL MAG LETT;Philos. Mag. Lett.;PHILOSOPHICAL MAGAZINE LETTERS;0950-0839
PHLEBOLOGY;Phlebology;PHLEBOLOGY;0268-3555
PHONETICA;Phonetica;PHONETICA;0031-8388
PHONETICA;Phonetica;PHONETICA;0031-8388
PHOTOGRAMM ENG REM S;Photogramm. Eng. Remote Sens.;PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING;0099-1112
PHOTONIC NANOSTRUCT;Photonics Nanostruct.;Photonics and Nanostructures-Fundamentals and Applications;1569-4410
PHOTONIC NETW COMMUN;Photonic Netw. Commun.;PHOTONIC NETWORK COMMUNICATIONS;1387-974X
PHOTONIC SENS;Photonic Sens.;Photonic Sensors;1674-9251
PHOTONICS RES;Photonics Res.;Photonics Research;2327-9125
PHYCOL RES;Phycol. Res.;PHYCOLOGICAL RESEARCH;1322-0829
PHYCOLOGIA;Phycologia;PHYCOLOGIA;0031-8884
PHYS CHEM MINER;Phys. Chem. Miner.;PHYSICS AND CHEMISTRY OF MINERALS;0342-1791
WATER ENVIRON RES;Water Environ. Res.;WATER ENVIRONMENT RESEARCH;1061-4303
WATER RESOUR MANAG;Water Resour. Manag.;WATER RESOURCES MANAGEMENT;0920-4741
WATER SCI TECHNOL;Water Sci. Technol.;WATER SCIENCE AND TECHNOLOGY;0273-1223
WATER SCI TECHNOL;Water Sci. Technol.;WATER SCIENCE AND TECHNOLOGY;0273-1223
WAVE MOTION;Wave Motion;WAVE MOTION;0165-2125
WEED BIOL MANAG;Weed Biol. Manag.;WEED BIOLOGY AND MANAGEMENT;1444-6162
WEED SCI;Weed Sci.;WEED SCIENCE;0043-1745
WETLANDS;Wetlands;WETLANDS;0277-5212
WILDLIFE BIOL;Wildlife Biol.;WILDLIFE BIOLOGY;0909-6396
WILDLIFE RES;Wildl. Res.;WILDLIFE RESEARCH;1035-3712
WIRES WATER;Wiley Interdiscip. Rev.-Water;Wiley Interdisciplinary Reviews-Water;2049-1948
NAT HAZARD EARTH SYS;Nat. Hazards Earth Syst. Sci.;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;1561-8633
NAT HAZARDS;Nat. Hazards;NATURAL HAZARDS;0921-030X
NAT MED;Nat. Med.;NATURE MEDICINE;1078-8956
NAT NEUROSCI;Nat. Neurosci.;NATURE NEUROSCIENCE;1097-6256
NAT PHYS;Nat. Phys.;Nature Physics;1745-2473
NAT PROD REP;Nat. Prod. Rep.;NATURAL PRODUCT REPORTS;0265-0568
NAT PROD RES;Nat. Prod. Res.;NATURAL PRODUCT RESEARCH;1478-6419
NAT REV CLIN ONCOL;Nat. Rev. Clin. Oncol.;Nature Reviews Clinical Oncology;1759-4774
NAT REV DRUG DISCOV;Nat. Rev. Drug Discov.;NATURE REVIEWS DRUG DISCOVERY;1474-1776
NAT REV MICROBIOL;Nat. Rev. Microbiol.;NATURE REVIEWS MICROBIOLOGY;1740-1526
NATL MED J INDIA;Natl. Med. J. India;NATIONAL MEDICAL JOURNAL OF INDIA;0970-258X
NEOTROP ENTOMOL;Neotrop. Entomol.;NEOTROPICAL ENTOMOLOGY;1519-566X
NETWORK-COMP NEURAL;Netw.-Comput. Neural Syst.;NETWORK-COMPUTATION IN NEURAL SYSTEMS;0954-898X
NEURO-ONCOLOGY;Neuro-Oncology;NEURO-ONCOLOGY;1522-8517
NEUROCHEM INT;Neurochem. Int.;NEUROCHEMISTRY INTERNATIONAL;0197-0186
NEUROCRIT CARE;Neurocrit. Care;Neurocritical Care;1541-6933
NEURODEGENER DIS;Neurodegener. Dis.;Neurodegenerative Diseases;1660-2854
NEUROGENETICS;Neurogenetics;NEUROGENETICS;1364-6745
NEUROINFORMATICS;Neuroinformatics;NEUROINFORMATICS;1539-2791
SPAN J AGRIC RES;Span. J. Agric. Res.;SPANISH JOURNAL OF AGRICULTURAL RESEARCH;1695-971X
SPAT STAT-NETH;Spat. Stat.;Spatial Statistics;2211-6753
WORLD ALLERGY ORGAN;World Allergy Organ. J.;World Allergy Organization Journal;1939-4551
WORLD J EMERG SURG;World J. Emerg. Surg.;World Journal of Emergency Surgery;1749-7922
WORLD REV NUTR DIET;World Rev.Nutr.Diet.;World Review of Nutrition and Dietetics;0084-2230
X-RAY SPECTROM;X-Ray Spectrom.;X-RAY SPECTROMETRY;0049-8246
YEAST;Yeast;YEAST;0749-503X
Z ANGEW MATH PHYS;Z. Angew. Math. Phys.;ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK;0044-2275
PHYS FLUIDS;Phys. Fluids;PHYSICS OF FLUIDS;1070-6631
PHYS REV APPL;Phys. Rev. Appl.;Physical Review Applied;2331-7019
PHYS REV B;Phys. Rev. B;PHYSICAL REVIEW B;2469-9950
PHYS REV FLUIDS;Phys. Rev. Fluids;Physical Review Fluids;2469-990X
PHYS REV MATER;Phys. Rev. Mater.;PHYSICAL REVIEW MATERIALS;2475-9953
PHYS STATUS SOLIDI-R;Phys. Status Solidi-Rapid Res. Lett.;Physica Status Solidi-Rapid Research Letters;1862-6254
PHYS WORLD;Phys. World;PHYSICS WORLD;0953-8585
PHYSICA B;Physica B;PHYSICA B-CONDENSED MATTER;0921-4526
PHYSICOCHEM PROBL MI;Physicochem. Probl. Mineral Pro.;Physicochemical Problems of Mineral Processing;1643-1049
PHYSIOL MEAS;Physiol. Meas.;PHYSIOLOGICAL MEASUREMENT;0967-3334
PHYSIOTHER THEOR PR;Physiother. Theory Pract.;PHYSIOTHERAPY THEORY AND PRACTICE;0959-3985
PHYTOCHEM ANALYSIS;Phytochem. Anal.;PHYTOCHEMICAL ANALYSIS;0958-0344
SPINAL CORD;Spinal Cord;SPINAL CORD;1362-4393
SPORT EDUC SOC;Sport. Educ. Soc.;SPORT EDUCATION AND SOCIETY;1357-3322
STAHLBAU;Stahlbau;Stahlbau;0038-9145
STAT COMPUT;Stat. Comput.;STATISTICS AND COMPUTING;0960-3174
STAT MED;Stat. Med.;STATISTICS IN MEDICINE;0277-6715
STAT MED;Stat. Med.;STATISTICS IN MEDICINE;0277-6715
STAT METHODS MED RES;Stat. Methods Med. Res.;STATISTICAL METHODS IN MEDICAL RESEARCH;0962-2802
STAT METHODS MED RES;Stat. Methods Med. Res.;STATISTICAL METHODS IN MEDICAL RESEARCH;0962-2802
STAT METHODS MED RES;Stat. Methods Med. Res.;STATISTICAL METHODS IN MEDICAL RESEARCH;0962-2802
STAT SCI;Stat. Sci.;STATISTICAL SCIENCE;0883-4237
STEM CELL RES;Stem Cell Res.;Stem Cell Research;1873-5061
STEM CELL REV REP;Stem Cell Rev. Rep.;Stem Cell Reviews and Reports;1550-8943
STEM CELLS;Stem Cells;STEM CELLS;1066-5099
STEREOT FUNCT NEUROS;Stereotact. Funct. Neurosurg.;STEREOTACTIC AND FUNCTIONAL NEUROSURGERY;1011-6125
STOCH ANAL APPL;Stoch. Anal. Appl.;STOCHASTIC ANALYSIS AND APPLICATIONS;0736-2994
STOCH PROC APPL;Stoch. Process. Their Appl.;STOCHASTIC PROCESSES AND THEIR APPLICATIONS;0304-4149
STRUCT DYNAM-US;Struct. Dyn.-US;Structural Dynamics;2329-7778
NEUROL NEUROCHIR POL;Neurol. Neurochir. Pol.;Neurologia i Neurochirurgia Polska;0028-3843
NEUROL SCI;Neurol. Sci.;NEUROLOGICAL SCIENCES;1590-1874
NEUROLOGIST;Neurologist;NEUROLOGIST;1074-7931
NEUROMOL MED;Neuromol. Med.;NEUROMOLECULAR MEDICINE;1535-1084
PHYTOPROTECTION;Phytoprotection;PHYTOPROTECTION;0031-9511
PLANT BIOTECHNOL REP;Plant Biotechnol. Rep.;Plant Biotechnology Reports;1863-5466
PLANT GROWTH REGUL;Plant Growth Regul.;PLANT GROWTH REGULATION;0167-6903
Z GERONTOL GERIATR;Z. Gerontol. Geriatr.;ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE;0948-6704
Z NATURFORSCH C;Z.Naturforsch.(C);ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES;0939-5075
Z NEUROPSYCHOL;Z. Neuropsychol.;Zeitschrift fur Neuropsychologie;1016-264X
ZAMM-Z ANGEW MATH ME;ZAMM-Z. Angew. Math. Mech.;ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik;0044-2267
ZH VYSSH NERV DEYAT+;Zhurnal Vyss. Nervn. Deyatelnosti Im. I P Pavlov.;ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA;0044-4677
ZKG INT;ZKG Int.;ZKG INTERNATIONAL;0949-0205
ZOOLOGY;Zoology;ZOOLOGY;0944-2006
ZYGOTE;Zygote;ZYGOTE;0967-1994
PLASMONICS;Plasmonics;Plasmonics;1557-1955
NEUROPSYCHOL REHABIL;Neuropsychol. Rehabil.;NEUROPSYCHOLOGICAL REHABILITATION;0960-2011
NEUROPSYCHOL REHABIL;Neuropsychol. Rehabil.;NEUROPSYCHOLOGICAL REHABILITATION;0960-2011
NEUROPSYCHOL REV;Neuropsychol. Rev.;NEUROPSYCHOLOGY REVIEW;1040-7308
NEUROPSYCHOLOGY;Neuropsychology;NEUROPSYCHOLOGY;0894-4105
NEUROPSYCHOPHARMACOL;Neuropsychopharmacology;NEUROPSYCHOPHARMACOLOGY;0893-133X
NEUROREHAB NEURAL RE;Neurorehabil. Neural Repair;NEUROREHABILITATION AND NEURAL REPAIR;1545-9683
NEUROSCI LETT;Neurosci. Lett.;NEUROSCIENCE LETTERS;0304-3940
NEUROSURG CLIN N AM;Neurosurg. Clin. N. Am.;NEUROSURGERY CLINICS OF NORTH AMERICA;1042-3680
NEUROSURG CLIN N AM;Neurosurg. Clin. N. Am.;NEUROSURGERY CLINICS OF NORTH AMERICA;1042-3680
NEUROTOX RES;Neurotox. Res.;NEUROTOXICITY RESEARCH;1029-8428
NEUROTOXICOLOGY;Neurotoxicology;NEUROTOXICOLOGY;0161-813X
NEW CARBON MATER;New Carbon Mater.;NEW CARBON MATERIALS;1007-8827
NEW GENET SOC;New Genet. Soc.;NEW GENETICS AND SOCIETY;1463-6778
NEW REV HYPERMEDIA M;New Rev. Hypermedia Multimed.;New Review of Hypermedia and Multimedia;1361-4568
NEW ZEAL J ZOOL;N. Z. J. Zool.;NEW ZEALAND JOURNAL OF ZOOLOGY;0301-4223
NIGER J CLIN PRACT;Niger. J. Clin. Pract.;Nigerian Journal of Clinical Practice;1119-3077
NONLINEAR ANAL-MODEL;Nonlinear Anal.-Model Control;Nonlinear Analysis-Modelling and Control;1392-5113
NORTH-WEST J ZOOL;North-West. J. Zool.;North-Western Journal of Zoology;1584-9074
NOTRE DAME J FORM L;Notre Dame J. Form. Log.;Notre Dame Journal of Formal Logic;0029-4527
STUD GEOPHYS GEOD;Stud. Geophys. Geod.;STUDIA GEOPHYSICA ET GEODAETICA;0039-3169
STUD HIST PHILOS SCI;Stud. Hist. Philos. Sci.;STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE;0039-3681
STUD INFORM CONTROL;Stud. Inform. Control;Studies in Informatics and Control;1220-1766
STUD LOGICA;Stud. Log.;Studia Logica;0039-3215
PLOS COMPUT BIOL;PLoS Comput. Biol.;PLoS Computational Biology;1553-734X
PM&R;PM&R;PM&R;1934-1482
POL J CHEM TECHNOL;Pol. J. Chem. Technol.;Polish Journal of Chemical Technology;1509-8117
POL POLAR RES;Pol. Polar. Res.;POLISH POLAR RESEARCH;0138-0338
POLAR REC;POLAR REC.;POLAR RECORD;0032-2474
POLAR RES;Polar Res.;POLAR RESEARCH;0800-0395
POLIMERY-W;Polimery;POLIMERY;0032-2725
POLYM INT;Polym. Int.;POLYMER INTERNATIONAL;0959-8103
POLYM POLYM COMPOS;Polym. Polym. Compos.;POLYMERS & POLYMER COMPOSITES;0967-3911
POSTEP KARDIOL INTER;Postep. Kardiol. Interwencyjnej;Postepy w Kardiologii Interwencyjnej;1734-9338
POTENTIAL ANAL;Potential Anal.;POTENTIAL ANALYSIS;0926-2601
PRECIS AGRIC;Precis. Agric.;PRECISION AGRICULTURE;1385-2256
PRECIS ENG;Precis. Eng.-J. Int. Soc. Precis. Eng. Nanotechnol.;PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY;0141-6359
PRIM CARE DIABETES;Prim. Care Diabetes;Primary Care Diabetes;1751-9918
SUMAR LIST;Sumar. List;Sumarski List;0373-1332
SURG INNOV;Surg. Innov.;Surgical Innovation;1553-3506
SURG ONCOL;Surg. Oncol.-Oxf.;SURGICAL ONCOLOGY-OXFORD;0960-7404
SURG-J R COLL SURG E;Surg. J. R. Coll. Surg. Edinb. Irel.;SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND;1479-666X
SURV REV;Surv. Rev.;SURVEY REVIEW;0039-6265
SWISS J GEOSCI;Swiss J. Geosci.;Swiss Journal of Geosciences;1661-8726
T AM FISH SOC;Trans. Am. Fish. Soc.;TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY;0002-8487
T I MET FINISH;Trans. Inst. Metal Finish.;TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING;0020-2967
NPJ MICROGRAVITY;NPJ Microgravity;NPJ Microgravity;2373-8065
NPJ QUANTUM INFORM;npj Quantum Inform.;npj Quantum Information;2056-6387
NUCL ENG INT;Nucl. Eng. Int.;NUCLEAR ENGINEERING INTERNATIONAL;0029-5507
NUCL FUSION;Nucl. Fusion;NUCLEAR FUSION;0029-5515
NUCL INSTRUM METH A;Nucl. Instrum. Methods Phys. Res. Sect. A-Accel. Spectrom. Dect. Assoc. Equip.;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;0168-9002
PROCESS BIOCHEM;Process Biochem.;PROCESS BIOCHEMISTRY;1359-5113
PROD OPER MANAG;Prod. Oper. Manag.;PRODUCTION AND OPERATIONS MANAGEMENT;1059-1478
PROG BIOPHYS MOL BIO;Prog. Biophys. Mol. Biol.;PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY;0079-6107
PROG MATER SCI;Prog. Mater. Sci.;PROGRESS IN MATERIALS SCIENCE;0079-6425
PROG MOL BIOL TRANSL;Prog. Molec. Biol. Transl. Sci.;Progress in Molecular Biology and Translational Science;1877-1173
PROG NAT SCI-MATER;Prog. Nat. Sci.;Progress in Natural Science-Materials International;1002-0071
PROG NUCL MAG RES SP;Prog. Nucl. Magn. Reson. Spectrosc.;PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY;0079-6565
PROG OPTICS;Prog. Opt.;Progress in Optics;0079-6638
PROG PART NUCL PHYS;Prog. Part. Nucl. Phys.;PROGRESS IN PARTICLE AND NUCLEAR PHYSICS;0146-6410
PROG PHOTOVOLTAICS;Prog. Photovoltaics;PROGRESS IN PHOTOVOLTAICS;1062-7995
PROG POLYM SCI;Prog. Polym. Sci.;PROGRESS IN POLYMER SCIENCE;0079-6700
PROG SURF SCI;Prog. Surf. Sci.;PROGRESS IN SURFACE SCIENCE;0079-6816
PROG UROL;Prog. Urol.;PROGRES EN UROLOGIE;1166-7087
PROGRAM COMPUT SOFT+;Program. Comput. Softw.;PROGRAMMING AND COMPUTER SOFTWARE;0361-7688
PROSTAG LEUKOTR ESS;Prostaglandins Leukot. Essent. Fatty Acids;PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS;0952-3278
PROTEINS;Proteins;PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS;0887-3585
PROTEOME SCI;Proteome Sci.;Proteome Science;1477-5956
PRZEM CHEM;Przem. Chem.;PRZEMYSL CHEMICZNY;0033-2496
PSYCHIAT CLIN PSYCH;Psychiatry Clin. Psychopharmacol.;Psychiatry and Clinical Psychopharmacology;2475-0573
PSYCHOL HEALTH MED;Psychol. Health Med.;Psychology Health & Medicine;1354-8506
NUCL INSTRUM METH A;Nucl. Instrum. Methods Phys. Res. Sect. A-Accel. Spectrom. Dect. Assoc. Equip.;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;0168-9002
NUCL INSTRUM METH B;Nucl. Instrum. Methods Phys. Res. Sect. B-Beam Interact. Mater. Atoms;NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS;0168-583X
NUCL MED COMMUN;Nucl. Med. Commun.;NUCLEAR MEDICINE COMMUNICATIONS;0143-3636
NUCL PHYS A;Nucl. Phys. A;NUCLEAR PHYSICS A;0375-9474
NUCL SCI TECH;Nucl. Sci. Tech.;Nuclear Science and Techniques;1001-8042
NUCLEOS NUCLEOT NUCL;Nucleosides Nucleotides Nucleic Acids;NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS;1525-7770
NUKLEONIKA;Nukleonika;NUKLEONIKA;0029-5922
NUTR DIET;Nutr. Diet.;Nutrition & Dietetics;1446-6368
NUTR METAB CARDIOVAS;Nutr. Metab. Carbiovasc. Dis.;NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES;0939-4753
NUTRIENTS;Nutrients;Nutrients;2072-6643
NZ J FORESTRY SCI;N. Z. J. Forest. Sci.;NEW ZEALAND JOURNAL OF FORESTRY SCIENCE;0048-0134
OBES REV;Obes. Rev.;Obesity Reviews;1467-7881
OCEAN ENG;Ocean Eng.;OCEAN ENGINEERING;0029-8018
OCEAN SCI;Ocean Sci.;Ocean Science;1812-0784
OCEAN SCI J;Ocean Sci. J.;Ocean Science Journal;1738-5261
OIKOS;Oikos;OIKOS;0030-1299
OIL GAS SCI TECHNOL;Oil Gas Sci. Technol.;Oil & Gas Science and Technology-Revue d IFP Energies nouvelles;1294-4475
OIL GAS-EUR MAG;Oil Gas-Eur. Mag.;OIL GAS-EUROPEAN MAGAZINE;0342-5622
ONDERSTEPOORT J VET;Onderstepoort J. Vet. Res.;ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH;0030-2465
OPEN SYST INF DYN;Open Syst. Inf. Dyn.;OPEN SYSTEMS & INFORMATION DYNAMICS;1230-1612
OPEN SYST INF DYN;Open Syst. Inf. Dyn.;OPEN SYSTEMS & INFORMATION DYNAMICS;1230-1612
OPER DENT;Oper. Dent.;OPERATIVE DENTISTRY;0361-7734
TECHNOVATION;Technovation;TECHNOVATION;0166-4972
TEKST KONFEKSIYON;Tekst. Konfeksiyon;Tekstil ve Konfeksiyon;1300-3356
PSYCHOMETRIKA;Psychometrika;PSYCHOMETRIKA;0033-3123
PSYCHOTHER PSYCHOSOM;Psychother. Psychosom.;PSYCHOTHERAPY AND PSYCHOSOMATICS;0033-3190
PUBLIC HEALTH NURS;Public Health Nurs.;PUBLIC HEALTH NURSING;0737-1209
PULM CIRC;Pulm. Circ.;Pulmonary Circulation;2045-8932
PURE APPL MATH Q;Pure Appl. Math. Q.;Pure and Applied Mathematics Quarterly;1558-8599
Q APPL MATH;Q. Appl. Math.;QUARTERLY OF APPLIED MATHEMATICS;0033-569X
Q J NUCL MED MOL IM;Q. J. Nucl. Med. Mol. Imag.;QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;1824-4785
QUAL THEOR DYN SYST;Qual. Theor. Dyn. Syst.;Qualitative Theory of Dynamical Systems;1575-5460
QUAL THEOR DYN SYST;Qual. Theor. Dyn. Syst.;Qualitative Theory of Dynamical Systems;1575-5460
